label,type,type_corrected,type_corrected_2,packet loss,node,count,std,mean,var,hop,outliers
grid_1gh30-9_2019-02-20_00:12_,BH,normal,normal,24,aaaa::212:740e:e:e0e,76,178.9417797,376.6973684,32020.16053,5,6
grid_1gh30-9_2019-02-20_00:12_,BH,normal,normal,24,aaaa::212:740a:a:a0a,76,151.4086714,377.6184211,22924.58579,4,5
grid_1gh50-7_2019-02-19_22:53_,BH,normal,normal,24,aaaa::212:7407:7:707,76,342.3641139,321.5131579,117213.1865,2,6
grid_1gh70-7_2019-02-19_23:11_,BH,normal,normal,24,aaaa::212:7404:4:404,76,64.22152171,86.00394737,4124.403851,1,3
grid_normal_2019-02-19_21:23_,normal,normal,normal,24,aaaa::212:7402:2:202,76,381.2842024,407.8263158,145377.643,2,4
grid_normal_2019-02-26_10:53_,normal,normal,normal,24,aaaa::212:7411:11:1111,76,310.1511038,699.6973684,96193.70719,5,3
grid_1bh-7_2019-02-19_22:13_,BH,normal,normal,25,aaaa::212:7406:6:606,75,287.7999537,368.7466667,82828.81333,3,2
grid_1bh-7_2019-02-19_22:13_,BH,normal,normal,25,aaaa::212:7410:10:1010,75,231.7478149,433.76,53707.04973,4,5
grid_1gh70-9_2019-02-19_23:34_,BH,normal,normal,25,aaaa::212:7404:4:404,75,204.1366145,225.856,41671.75736,1,3
grid_normal_2019-02-26_10:53_,normal,normal,normal,25,aaaa::212:740b:b:b0b,75,239.4904599,570.0933333,57355.68036,3,4
grid_normal_2019-02-26_10:53_,normal,normal,normal,25,aaaa::212:740c:c:c0c,75,391.6457997,626.8,153386.4324,3,3
grid_normal_2019-02-26_10:53_,normal,normal,normal,25,aaaa::212:7402:2:202,75,207.090891,350.2266667,42886.63712,2,5
grid_1bh-9_2019-02-20_00:30_,BH,normal,normal,26,aaaa::212:740b:b:b0b,74,228.7555669,313.9864865,52329.1094,3,2
grid_1gh50-7_2019-02-19_22:53_,BH,normal,normal,26,aaaa::212:740e:e:e0e,74,632.7672879,784.4324324,400394.4406,5,5
grid_1bh-7_2019-02-19_22:13_,normal,normal,normal,27,aaaa::212:7408:8:808,73,201.821761,290.5890411,40732.02321,2,2
grid_1bh-9_2019-02-20_00:30_,BH,normal,normal,27,aaaa::212:7410:10:1010,73,288.1498558,470.6575342,83030.33942,4,3
grid_1gh30-9_2019-02-20_00:12_,BH,normal,normal,27,aaaa::212:7405:5:505,73,140.8912123,276.1643836,19850.33371,2,4
grid_1gh70-9_2019-02-19_23:34_,BH,normal,normal,27,aaaa::212:7405:5:505,73,360.0660325,433.2,129647.5478,2,6
grid_1gh30-7_2019-02-19_22:35_,BH,normal,normal,28,aaaa::212:7407:7:707,72,412.121493,527.375,169844.125,2,6
